Sp,Ss,Xv,X,Xs,OD
6.587790596273071,0.0,0.565,0.565,0.0,0.0076
6.579251701883623,0.0,0.5682639159240955,0.5682639159240955,0.0,0.00759726729159403
6.570666645421764,3.335630082464183e-16,0.5715454395979229,0.5715455156394288,7.60415058944939e-08,0.0075945227036635235
6.562035223705253,0.0,0.5748446475084579,0.5748448775809823,2.3007252443497825e-07,0.007591766182833882
6.5533572334002335,0.0,0.5781616161690931,0.5781620802541739,4.640850808369362e-07,0.007588997675705977
6.54463247103597,0.0,0.5814964221131713,0.5814972022294154,7.801162440821534e-07,0.007586217128860312
6.535860733019916,0.0,0.5848491418873728,0.5848503221365504,1.1802491775717927e-06,0.007583424488861269
6.5270418156531,0.0,0.5882198520449567,0.5882215186591725,1.666614215792517e-06,0.007580619702261449
6.5181755151458445,0.0,0.5916086291388517,0.5916108705288193,2.241389967675967e-06,0.007577802715606101
6.509261627633818,0.0,0.5950155497145945,0.5950184565190418,2.9068044473503815e-06,0.007574973475437647
6.500299949194435,0.0,0.5984406903031132,0.5984443554393462,3.665136233002161e-06,0.007572131928300297
6.49129027586359,0.0,0.6018841274133524,0.6018886461290069,4.518715654584615e-06,0.007569278020744763
6.482232403652756,0.0,0.6053459375247371,0.6053514074507482,5.469926011131313e-06,0.007566411699333071
6.4731261285664345,0.0,0.6088261970794734,0.6088327182842919,6.5212048184518885e-06,0.00756353291064347
6.463971246619969,0.0,0.6123249824746819,0.61233265751977,7.675045088009447e-06,0.007560641601275443
6.454767553857728,0.0,0.6158423700543619,0.6158513040509997,8.933996637800432e-06,0.007557737717854822
6.445514846371666,0.0,0.6193784361011823,0.6193887367686184,1.0300667436080106e-05,0.007554821207038997
6.436212920320263,0.0,0.6229332568280965,0.6229450345530754,1.1777724978799806e-05,0.007551892015522248
6.42686157194785,0.0,0.6265069083697795,0.6265202762674812,1.3367897701645684e-05,0.0075489500900411685
6.417460597604331,0.0,0.6300994667738808,0.6301145407503085,1.507397642759286e-05,0.007545995377380205
6.4080097937653,0.0,0.6337110079920939,0.6337279068079448,1.689881585091382e-05,0.007543027824377304
6.398508957052573,0.0,0.6373416078710354,0.637360453207094,1.8845336058605484e-05,0.007540047377929677
6.388957884255115,0.0,0.6409913421429331,0.6410122586670233,2.0916524090225473e-05,0.007537053984999671
6.379356372350404,0.0,0.6446602864161175,0.6446834018516546,2.3115435537155306e-05,0.007534047592620762
6.36970421852621,0.0,0.6483485161653156,0.6483739613614979,2.5445196182335738e-05,0.007531028147903659
6.360001220202806,0.0,0.6520561067217409,0.6520840157254224,2.7909003681548037e-05,0.007527995598042539
6.3502471750556175,0.0,0.6557831332629777,0.655813643392265,3.051012928734414e-05,0.007524949890321387
6.340441881038322,0.0,0.6595296708026559,0.6595629227222727,3.325191961675872e-05,0.007521890972120476
6.330585136406391,0.0,0.6632957941799122,0.6633319319783763,3.613779846396686e-05,0.0075188187909229565
6.320676739741101,0.0,0.6670815780486336,0.6671207493172926,3.9171268659082856e-05,0.007515733294321585
6.3107164899739985,0.0,0.6708870968664797,0.670929452780454,4.2355913974328034e-05,0.007512634430025572
6.300704186411851,0.0,0.6747124248836817,0.6747581202847605,4.5695401078828815e-05,0.007509522145867571
6.290639628762064,0.0,0.6785576361316092,0.6786068296131526,4.9193481543340584e-05,0.0075063963898107855
6.280522617158598,0.0,0.6824228044111077,0.6824756584050039,5.2853993896228126e-05,0.0075032571099562274
6.270352952188369,0.0,0.6863080032805959,0.686364684146328,5.668086573206925e-05,0.0075001042545500985
6.260130434918156,0.0,0.690213306043924,0.6902739841597982,6.067811587428558e-05,0.007496937771991316
6.249854866922019,0.0,0.6941387857379846,0.6942036355945779,6.484985659324229e-05,0.0074937576108391815
6.2395260503092285,0.0,0.698084515120076,0.6981537154159573,6.920029588129775e-05,0.0074905637198211875
6.229143787752725,0.0,0.7020505666550091,0.7021243003947955,7.373373978632392e-05,0.0074873560478409705
6.218707882518105,0.0,0.7060370125019577,0.706115467096763,7.845459480525974e-05,0.007484134543986413
6.2082181384931525,0.0,0.7100439245010444,0.7101272918713837,8.336737033930155e-05,0.0074808991575378925
6.197674360217912,0.0,0.7140713741596592,0.7141598508408715,8.84766812123782e-05,0.0074776498379766805
6.1870763529153185,0.0,0.7181194326385065,0.7182132198887611,9.378725025460278e-05,0.0074743865349935
6.176423922522398,0.0,0.7221881707373742,0.7222874746483267,9.93039109524384e-05,0.0074711091984972335
6.165716875722028,0.0,0.7262776588806209,0.7263826904907883,0.00010503161016736209,0.007467817778623788
6.1549550199752865,0.0,0.7303879671023776,0.7304989425133025,0.00011097541092485927,0.007464512225745127
6.144138163554385,0.0,0.7345191650314565,0.7346363055267322,0.00011714049527562966,0.007461192490478458
6.133266115576197,0.0,0.7386713218759635,0.7387948540431944,0.00012353216723093657,0.007457858523695587
6.122338686036396,0.0,0.7428445064076094,0.7429746622633834,0.00013015585577408272,0.0074545102765324394
6.111355685844197,0.0,0.7470387869457134,0.7471758040636634,0.00013701711795004894,0.007451147700398751
6.100316926857732,0.0,0.751254231340895,0.7513983529829303,0.00014412164203538637,0.00744777074698793
6.0892222219200445,0.0,0.7554909069584481,0.7556423822092386,0.0001514752507905083,0.007444379368287092
6.078071384895727,0.0,0.7597488806613918,0.7599079645661884,0.00015908390479658498,0.00744097351658727
6.066864230708209,0.0,0.7640282187931932,0.7641951724990724,0.00016695370587930318,0.00743755314449381
6.055600575377691,0.0,0.7683289871601557,0.7685040780607776,0.00017509090062181192,0.007434118204936935
