Column1,Column2
2.4928590240738253,53.0
2.4639660562783123,54.0
2.435856111947398,55.0
2.40849570537812,56.0
2.3818532994477613,57.0
2.3558991628389565,58.0
2.3306052398241146,59.0
2.305945031324796,60.0
2.2818934861108704,61.0
2.258426901134155,62.0
2.2355228301044794,63.0
2.2131599995151476,64.0
2.191318231411504,65.0
2.1699783722724493,66.0
2.1491222274417185,67.0
2.128732500604757,68.0
2.1087927378591207,69.0
2.089287275972416,70.0
2.0702011944626335,71.0
2.051520271171943,72.0
2.0332309410372704,73.0
2.015320257789621,74.0
1.997775858339743,75.0
1.9805859296305264,76.0
1.963739177757019,77.0
1.9472247991732246,78.0
1.9310324538212726,79.0
1.9151522400333283,80.0
1.899574671069863,81.0
1.884290653169859,82.0
1.8692914649993277,83.0
1.854568738394224,84.0
1.8401144403026586,85.0
1.825920855839279,86.0
1.8119805723718883,87.0
1.7982864645669419,88.0
1.7848316803264936,89.0
1.771609627554574,90.0
1.758613961695907,91.0
1.7458385739943503,92.0
1.7332775804225373,93.0
1.7209253112379224,94.0
1.7087763011238553,95.0
1.6968252798774184,96.0
1.6850671636086176,97.0
1.6734970464181411,98.0
1.6621101925232906,99.0
1.650902028803904,100.0
1.639868137742093,101.0
1.6290042507315083,102.0
1.6183062417335263,103.0
1.6077701212593494,104.0
1.5973920306584586,105.0
1.587168236695198,106.0
1.577095126396503,107.0
1.5671692021549408,108.0
1.5573870770722695,109.0
1.5477454705297204,110.0
1.5382412039720945,111.0
1.528871196893618,112.0
1.5196324630142641,113.0
1.510522106635987,114.0
1.5015373191689647,115.0
1.4926753758185818,116.0
1.4839336324244592,117.0
1.4753095224433708,118.0
1.4668005540683868,119.0
1.4584043074770592,120.0
1.450118432201886,121.0
1.4419406446167007,122.0
1.4338687255330156,123.0
1.4259005179006887,124.0
1.4180339246076237,125.0
1.4102669063735125,126.0
1.4025974797329213,127.0
1.3950237151032847,128.0
1.3875437349336315,129.0
1.3801557119300945,130.0
1.372857867354474,131.0
1.3656484693923507,132.0
1.3585258315874043,133.0
1.3514883113388116,134.0
1.3445343084587422,135.0
1.3376622637871411,136.0
1.3308706578611393,137.0
1.3241580096365704,138.0
1.3175228752592032,139.0
1.3109638468834344,140.0
1.3044795515362893,141.0
1.298068650024704,142.0
1.2917298358841527,143.0
1.2854618343667967,144.0
1.279263401467411,145.0
1.2731333229854391,146.0
1.2670704136216118,147.0
1.2610735161076325,148.0
1.255141500367519,149.0
1.24927326270925,150.0
1.2434677250454373,151.0
1.2377238341418004,152.0
1.232040560892288,153.0
1.226416899619734,154.0
1.220851867401001,155.0
1.2153445034156038,156.0
1.2098938683168585,157.0
1.204499043624644,158.0
1.199159131138908,159.0
1.193873252373087,160.0
1.1886405480066473,161.0
1.183460177355996,162.0
1.1783313178630341,163.0
1.173253164600668,164.0
1.1682249297946197,165.0
1.1632458423609047,166.0
1.15831514745838,167.0
1.153432106055784,168.0
1.1485959945127218,169.0
1.1438061041740675,170.0
1.1390617409772796,171.0
1.134362225072154,172.0
1.1297068904525458,173.0
1.1250950845996228,174.0
1.1205261681362275,175.0
1.115999514491944,176.0
1.111514509578475,177.0
1.107070551474968,178.0
1.1026670501229214,179.0
1.0983034270303422,180.0
1.0939791149848126,181.0
1.0896935577751627,182.0
1.0854462099214426,183.0
1.081236536412901,184.0
