Kernel,linear
Training,0.0,1.0
Testing,0.0,1.0
Validation,0.0,1.0
Kernel,poly
Training,0.0,1.0
Testing,0.0,1.0
Validation,0.0,1.0
Kernel,rbf
Training,0.0,1.0
Testing,0.0,1.0
Validation,0.0,1.0
